"ID_UC0","NOME_UC1","ID_WCMC2","CATEGORI3","GRUPO4","ESFERA5","ANO_CRIA6","GID7","QUALIDAD8","ATO_LEGA9","DT_ULTIM10","CODIGO_U11","NOME_ORG12","decimalLongitude","decimalLatitude"
"1575","MONUMENTO NATURAL MUNICIPAL DA LAGOA DO PERI",NA,"Monumento Natural","PI","municipal","2019","16291","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Lei ordinária nº 10.530 de 09/05/2019","10/05/2019","0540.42.1575","Prefeitura Municipal de Florianópolis - SC",-48.4237196102853,-27.5860205498182
"841","PARQUE ESTADUAL  DA ILHA DO CARDOSO","351972","Parque","PI","estadual","1962","2881","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 40319 de 03/07/1962","01/08/2018","0000.35.0841","Fundação para Conservação e a Produção Florestal do Estado de São Paulo",-47.9676842874808,-25.1342405122866
"2255","REFúGIO DE VIDA SILVESTRE MATA DE CARAúNA",NA,"Refúgio de Vida Silvestre","PI","estadual","1987","5447","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Lei ordinária nº 9.989 de 13/01/1987","10/09/2011","0000.26.2255","Agência Estadual do Meio Ambiente de Pernambuco",-35.100650597461,-8.18607017936353
"14","ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE","19484","Área de Proteção Ambiental","US","federal","1984","1824","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 90347 de 23/10/1984","26/03/2010","0000.00.0014","Instituto Chico Mendes de Conservação da Biodiversidade",-47.2915655298168,-24.4306173167081
"937","REFÚGIO ESTADUAL DE VIDA SILVESTRE LIBÉLULAS DA SERRA DE SÃO JOSÉ",NA,"Refúgio de Vida Silvestre","PI","estadual","2004","3278","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 43908 de 06/11/2004","16/09/2014","0000.31.0937","Instituto Estadual de Florestas de Minas Gerais",-44.1537616268721,-21.080879797928
"1988","ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE",NA,"Área de Proteção Ambiental","US","estadual","1998","4817","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Decreto nº 38.971 de 26/10/1998","30/05/2019","0000.43.1988","Secretaria do Ambiente e Desenvolvimento Sustentável do Rio Grande do Sul - RS",-50.7662581245062,-29.9586537155111
"2222","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÊS PONTÕES",NA,"Reserva Particular do Patrimônio Natural","US","federal","2004","9380","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 29 de 10/03/2004","26/08/2011","0000.00.2222","Instituto Chico Mendes de Conservação da Biodiversidade",-41.0496507612722,-20.0724597074737
"3408","FLORESTA NACIONAL DE URUPADI",NA,"Floresta","US","federal","e 2016 de 11/05/2016","12674","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 11 de maio de 2016 de 11/05/2016","18/05/2016","0000.00.3408","Instituto Chico Mendes de Conservação da Biodiversidade",-58.4533133813054,-6.09705432986428
"500","ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA","61730","Área de Proteção Ambiental","US","estadual","1992","2099","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 1234 de 28/04/1992","18/03/2016","0000.41.0500","Instituto Ambiental do Paraná",-48.8122424096772,-25.7900030253475
"3313","MONUMENTO NATURAL PEDRA DO CACHORRO",NA,"Monumento Natural","PI","estadual","2014","12284","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 40.549/2014 de 28/03/2014","15/03/2016","0000.26.3313","Agência Estadual do Meio Ambiente de Pernambuco",-36.1813302826701,-8.22334111233203
"2666","ESTAÇÃO ECOLÓGICA DE ITAPEVA",NA,"Estação Ecológica","PI","estadual","1985","6844","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Decreto nº 23.791 de 14/08/1985","11/10/2017","0000.35.2666","Instituto Florestal da Secretaria do Meio Ambiente do Estado de São Paulo - SP",-49.0751586776073,-24.0786177906048
"3659","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO ANDORINHÃO",NA,"Reserva Particular do Patrimônio Natural","US","federal","2018","14476","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 80 de 01/02/2018","09/05/2018","0000.00.3659","Instituto Chico Mendes de Conservação da Biodiversidade",-46.0915919223803,-22.5592663334013
"2604","PARQUE NATURAL MUNICIPAL VISTA ALEGRE",NA,"Parque","PI","municipal","2012","6910","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 427 de 08/05/2012","08/08/2012","0690.41.2604","Secretaria Municipal de Meio Ambiente de Curitiba - PR",-49.2950669355718,-25.4015830470763
"1078","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS",NA,"Reserva Particular do Patrimônio Natural","US","federal","2002","9751","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 61 de 19/04/2002","26/08/2011","0000.00.1078","Instituto Chico Mendes de Conservação da Biodiversidade",-49.1704288103353,-27.6833547723393
"3730","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GIGANTE DO ITAGUARÉ",NA,"Reserva Particular do Patrimônio Natural","US","estadual","2018","15297","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Resolução nº RESOLUÇÃO SMA Nº 52 de 11/05/2018","24/09/2018","0000.35.3730","Fundação para Conservação e a Produção Florestal do Estado de São Paulo",-45.0934264392899,-22.4928845083301
"2344","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORINDO VIDAS",NA,"Reserva Particular do Patrimônio Natural","US","estadual","2008","6097","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Outros nº 08-R de 25/04/2008","31/08/2012","0000.32.2344","Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo",-41.4971439455059,-20.3431499177611
"1006","PARQUE ESTADUAL RIO NEGRO SETOR SUL",NA,"Parque","PI","estadual","1995","3596","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 16497 de 02/04/1995","06/05/2016","0000.13.1006","Secretaria de Estado do Meio Ambiente do Amazonas",-60.4503417349533,-2.53366513590678
"2732","PARQUE ESTADUAL DA COSTA DO SOL",NA,"Parque","PI","estadual","2011","7252","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 42929 de 19/04/2011","24/02/2014","0000.33.2732","Instituto Estadual do Ambiente do Rio de Janeiro",-42.4174945727397,-22.9176504069668
"3135","RESERVA DE DESENVOLVIMENTO SUSTENTáVEL NASCENTES GERAIZEIRAS",NA,"Reserva de Desenvolvimento Sustentável","US","federal","2014","11162","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº Sem número de 14/10/2014","22/10/2014","0000.00.3135","Instituto Chico Mendes de Conservação da Biodiversidade",-42.4095532362168,-15.3638961438436
"20","ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DA LAGOA SANTA","31756","Área de Proteção Ambiental","US","federal","1990","5256","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Decreto nº 98881 de 25/01/1990","09/03/2016","0000.00.0020","Instituto Chico Mendes de Conservação da Biodiversidade",-43.9896884643847,-19.5402948415715
"156","PARQUE NACIONAL DAS NASCENTES DO RIO PARNAIBA","351758","Parque","PI","federal","2002","12864","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº S/N de 16/07/2002","29/04/2011","0000.00.0156","Instituto Chico Mendes de Conservação da Biodiversidade",-46.011683217772,-9.96900759186601
"2125","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JARDIM DAS DELÍCIAS",NA,"Reserva Particular do Patrimônio Natural","US","federal","2009","9519","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 4 de 13/02/2009","26/08/2011","0000.00.2125","Instituto Chico Mendes de Conservação da Biodiversidade",-42.3790480080339,-22.4130403004972
"736","ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DOS FRADES","352120","Área de Proteção Ambiental","US","estadual","1990","3283","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Lei ordinária nº 1755 de 17/11/1990","12/09/2011","0000.33.0736","Instituto Estadual do Ambiente do Rio de Janeiro",-42.7744402888357,-22.343570235055
"2956","ÁREA DE PROTEçãO AMBIENTAL CARAPIá",NA,"Área de Proteção Ambiental","US","municipal","2013","8760","Esquemático (O poligono é uma representação esquemática da dimensão da unidade).","Decreto nº 2329 de 31/03/2013","03/01/2014","0412.33.2956","Secretaria Municipal de Meio Ambiente de Quatis - RJ",-44.2481041418686,-22.4511150203136
"316","ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA",NA,"Área de Proteção Ambiental","US","estadual","1991","2015","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Resolução nº 387 de 28/02/1991","19/07/2012","0000.29.0316","Secretaria do Meio Ambiente da Bahia",-38.0776024527392,-12.6478151575342
"3876","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DA BOCAINA",NA,"Reserva Particular do Patrimônio Natural","US","estadual","2019","16178","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Resolução nº RESOLUÇÃO SIMA Nº 05 de 01/03/2019","03/04/2019","0000.35.3876","Fundação para Conservação e a Produção Florestal do Estado de São Paulo",-44.6023730814527,-22.6689380364922
"1498","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO","351911","Área de Proteção Ambiental","US","estadual","1997","1720","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Lei ordinária nº 906 de 21/05/1997","27/07/2007","0000.17.1498","Instituto Natureza do Tocantins",-48.2207222765031,-10.0555404518641
"3566","ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DO SAUBAL",NA,"Área de Proteção Ambiental","US","municipal","2011","13874","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Lei ordinária nº 18.715/2011 de 06/09/2011","23/10/2017","0680.15.3566","Secretaria Municipal de Meio Ambiente de Santarém - PA",-54.703596362545,-2.47765394873618
"1658","ARIE CRULS",NA,"Área de Relevante Interesse Ecológico","US","estadual","2008","3109","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 29.651 de 29/10/2008","01/11/2018","0000.53.1658","Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF",-47.9175800519492,-15.7502317392376
"2168","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA FAZENDA BONITO DE CIMA IV",NA,"Reserva Particular do Patrimônio Natural","US","federal","2007","10443","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 10 de 15/10/2007","26/08/2011","0000.00.2168","Instituto Chico Mendes de Conservação da Biodiversidade",-46.9577265285941,-18.50532305745
"1697","APA CAJATI",NA,"Área de Proteção Ambiental","US","estadual","2008","4573","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Lei ordinária nº 12810 de 21/02/2008","17/09/2015","0000.35.1697","Fundação para Conservação e a Produção Florestal do Estado de São Paulo",-48.2281221653833,-24.837129136743
